ID,Color,City,Flight,Fruit,Fahrenheit,Cheese,Mammal,Music
1,Gold,Tirana,UA3766,Loganberry,68F,Asiago,Lion,Folk
2,MistyRose,Andorra-la-Vella,SA9206,Tayberry,43F,Provolone,Tiger,Punk
3,FloralWhite,Sofia,QR1777,Macopa,1F,Gorgonzola,Elephant,Rock
4,BurlyWood,Vienna,AV5118,American-Mayapple,6F,Mascarpone,Giraffe,Classical
5,Gold,Baku,LA5570,Orange,8F,Fontina,Zebra,Ska
6,SandyBrown,Berlin,QR6387,Thimbleberry,1F,Pecorino-Romano,Rhinoceros,Reggae
7,Tan,Brussels,ET6407,Plum,56F,Ricotta,Hippopotamus,Blues
8,DarkGoldenrod,Sarajevo,KL7090,Cactus-pear,32F,Asiago,Cheetah,Hardbass
9,SandyBrown,Prague,QR1777,Yuzu,81F,Montasio,Leopard,K-POP
10,LightSalmon,Zagreb,AV6517,Sapodilla,56F,Ricotta,Jaguar,Rap
11,LightCoral,Nicosia,SK2193,Mandarine,62F,Asiago,Wolf,Jazz
12,DarkRed,Prague,SQ3539,Star-fruit,81F,Caprino,Bear,Lo-Fi
13,HotPink,Copenhagen,QR1777,Currant,9F,Caprino,Polar-Bear,Metal
14,Salmon,Tallinn,LH9806,Jambul,63F,Pecorino-Romano,Panda,Country
15,LightPink,Helsinki,SQ3948,Pomelo,43F,Taleggio,Kangaroo,R&B
16,PaleVioletRed,Budapest,WN4898,Mohsina,59F,Mascarpone,Koala,Eurobeats
17,Crimson,Tbilisi,UA2884,Pawpaw,18F,Pecorino-Romano,Dolphin,Gospel
18,Red,Berlin,AM8041,Elderberry,63F,Mozzarella,Whale,Psychedelic
19,DarkOrange,Athens,DL9915,Damson,17F,Ricotta,Orca,Bluegrass
20,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
21,DeepPink,Reykjavik,EK8584,Goji-berry,97F,Mozzarella,Gorilla,Trap
22,Peru,Dublin,AM1388,Cherimoya,65F,Ragusano,Chimpanzee,Vaporwave
23,Gold,Rome,DL8529,Pineapple,98F,Pecorino-Romano,Orangutan,House
24,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
25,Goldenrod,Pristina,ET5125,Blackcurrant,48F,Fiore-Sardo,Horse,Samba
26,Gold,Riga,TG5603,Blueberry,1F,Mascarpone,Cow,Rumba
27,PeachPuff,Vaduz,QR2087,Yuzu,45F,Mozzarella,Pig,Chiptune
28,BlanchedAlmond,Vilnius,DL7850,Star-apple,40F,Gorgonzola,Sheep,Ballads
29,Orange,Luxembourg,IB4351,Mouse-melon,20F,Stracchino,Goat,Funk
30,Wheat,Valletta,AV3127,Cantaloupe,50F,Ricotta,Dog,Soul
31,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
32,Pink,Monaco,TG6736,Mango,86F,Gorgonzola,Rabbit,Ambient
33,DarkSalmon,Berlin,WN2925,Yuzu,2F,Bitto,Squirrel,Trance
34,Maroon,Amsterdam,UA2819,Galia-melon,6F,Bitto,Raccoon,Dubstep
35,IndianRed,Skopje,BA8519,Ximenia,1F,Gorgonzola,Fox,Drum-and-Bass
36,PapayaWhip,Oslo,TG9997,Suriname-cherry,88F,Mozzarella,Deer,Grunge
37,SandyBrown,Warsaw,KL8992,Hala-fruit,94F,Parmigiano-Reggiano,Moose,Alternative
38,Coral,Lisbon,AM2800,Redcurrant,35F,Burrata,Elk,Indie
39,AntiqueWhite,Bucharest,IB7558,Lychee,46F,Asiago,Bison,Pop
40,Brown,London,BA9707,Tamarind,85F,Pecorino-Romano,Buffalo,Electronic
41,Moccasin,San-Marino,UA8466,Lanzones,69F,Bagoss,Llama,Hip-Hop
42,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
43,OrangeRed,Bratislava,QF3832,Akebi,1F,Burrata,Camel,Salsa
44,SaddleBrown,Ljubljana,CX8409,Kaffir-lime,34F,Mozzarella,Sloth,Flamenco
45,Gold,Madrid,NH2468,Kumquat,40F,Bagoss,Armadillo,Opera
46,NavajoWhite,Berlin,AV1393,Ackee,22F,Fiore-Sardo,Anteater,Swing
47,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
48,Firebrick,Berlin,UA6679,Longan,3F,Asiago,Echidna,Afrobeat
49,MediumVioletRed,Kyiv,EK1275,Plantain,93F,Bagoss,Opossum,Celtic
50,SandyBrown,Prague,QR1777,Yuzu,81F,Pecorino-Romano,Platypus,Bossa-Nova
51,Snow,Tokyo,ET5547,Raspberry,45F,Caciocavallo,Otter,New-Age
52,Tomato,Beijing,AF2581,Guava,46F,Caciocavallo,Seal,Progressive-Rock
53,Silver,New-Delhi,CX3392,Peach,52F,Mascarpone,Sea-Lion,Death-Metal
54,Sienna,Bangkok,EK7931,Passion-fruit,40F,Gorgonzola,Walrus,Black-Metal
55,RebeccaPurple,Seoul,KE3006,Pomegranate,13F,Mozzarella,Manatee,Hardcore
56,PowderBlue,Jakarta,AI1429,Kiwi,67F,Grana-Padano,Bat,Emo
57,Orchid,Manila,QF4877,Apricot,99F,Caprino,Hedgehog,Post-Rock
58,Magenta,Hanoi,QF5881,Grapefruit,64F,Grana-Padano,Porcupine,Shoegaze
59,Olive,Kuala-Lumpur,AI8209,Fig,87F,Fiore-Sardo,Beaver,Dream-Pop
60,Fuchsia,Singapore,ET9515,Mangosteen,64F,Caprino,Muskrat,Synthwave
61,Indigo,Cairo,AC8657,Dragon-fruit,1F,Fontina,Lemur,Industrial
62,DodgerBlue,Nairobi,ET6593,Persimmon,37F,Bagoss,Meerkat,Garage-Rock
63,Chartreuse,Lagos,SA9852,Nectarine,95F,Ragusano,Hyena,Surf-Rock
64,Khaki,Cape-Town,TG7226,Papaya,18F,Burrata,Wombat,Rockabilly
65,Gainsboro,Addis-Ababa,QF2199,Jackfruit,68F,Ricotta,Tasmanian-Devil,Doo-Wop
66,GhostWhite,Washington,ET1908,Rambutan,33F,Gorgonzola,Capybara,Motown
67,Plum,Ottawa,KE3828,Cranberry,5F,Mozzarella,Guinea-Pig,Acid-Jazz
68,SeaGreen,Mexico-City,UA9032,Soursop,67F,Ragusano,Hamster,Smooth-Jazz
69,Yellow,Brasilia,AC2732,Watermelon,9F,Taleggio,Ferret,Bebop
70,Violet,Buenos-Aires,TG7588,Blackberry,84F,Bagoss,Mink,Ragtime
71,Lime,Lima,QR3056,Pear,76F,Stracchino,Lynx,Mariachi
72,Cornsilk,Santiago,AF9595,Feijoa,91F,Caprino,Bobcat,Tango
73,Blue,Bogota,AI5439,Date,72F,Ragusano,Mountain-Lion,Waltz
74,Chocolate,Canberra,UA8748,Salak,48F,Burrata,Pangolin,Polka
75,Peru,Wellington,SA4339,Durian,45F,Parmigiano-Reggiano,Aardvark,Zydeco
