ID;Color;City;Flight;Fruit;Fahrenheit
1;Gold;Tirana;UA3766;Loganberry;68F
2;MistyRose;Andorra-la-Vella;SA9206;Tayberry;43F
3;FloralWhite;Prague;QR1777;Macopa;37F
4;BurlyWood;Vienna;AV5118;American-Mayapple;6F
5;Gold;Baku;LA5570;Orange;8F
6;Sienna;Berlin;QR6387;Thimbleberry;1F
7;Tan;Brussels;ET6407;Plum;56F
8;DarkGoldenrod;Sarajevo;KL7090;Cactus-pear;32F
9;SandyBrown;Sofia;QR8903;Yuzu;58F
10;LightSalmon;Zagreb;AV6517;Sapodilla;56F
11;LightCoral;Nicosia;SK2193;Mandarine;62F
12;DarkRed;Prague;SQ3539;Star-fruit;38F
13;HotPink;Copenhagen;QR1777;Currant;9F
14;Salmon;Tallinn;LH9806;Jambul;63F
15;LightPink;Helsinki;SQ3948;Pomelo;43F
16;PaleVioletRed;Prague;WN4898;Mohsina;59F
17;Crimson;Tbilisi;UA2884;Pawpaw;18F
18;Red;Berlin;AM8041;Elderberry;63F
19;DarkOrange;Athens;DL9915;Damson;17F
20;SandyBrown;Budapest;QR1777;Sloe;81F
21;DeepPink;Reykjavik;EK8584;Goji-berry;97F
22;Peru;Dublin;AM1388;Cherimoya;65F
23;Gold;Rome;DL8529;Pineapple;98F
24;SandyBrown;Prague;EK6173;Yuzu;17F
25;Goldenrod;Pristina;ET5125;Blackcurrant;48F
26;Gold;Riga;TG5603;Blueberry;1F
27;PeachPuff;Vaduz;QR2087;Yuzu;45F
28;BlanchedAlmond;Vilnius;DL7850;Star-apple;40F
29;Orange;Luxembourg;IB4351;Mouse-melon;20F
30;Wheat;Valletta;AV3127;Cantaloupe;50F
31;SandyBrown;Chisinau;NH6836;Tangelo;94F
32;Pink;Monaco;TG6736;Mango;86F
33;DarkSalmon;Berlin;WN2925;Yuzu;2F
34;Maroon;Amsterdam;UA2819;Galia-melon;6F
35;IndianRed;Skopje;BA8519;Ximenia;1F
36;PapayaWhip;Oslo;TG9997;Suriname-cherry;88F
37;Seashell;Warsaw;KL8992;Hala-fruit;94F
38;Coral;Lisbon;AM2800;Redcurrant;35F
39;AntiqueWhite;Bucharest;IB7558;Lychee;46F
40;Brown;Prague;BA9707;Tamarind;85F
41;Moccasin;San-Marino;UA8466;Lanzones;69F
42;Chocolate;Belgrade;QR1777;Yuzu;99F
43;OrangeRed;Bratislava;QF3832;Akebi;1F
44;SaddleBrown;Ljubljana;CX8409;Kaffir-lime;34F
45;Gold;Madrid;NH2468;Kumquat;40F
46;NavajoWhite;Berlin;AV1393;Ackee;22F
47;Snow;Bern;BA7341;Yuzu;23F
48;Firebrick;Berlin;UA6679;Longan;3F
49;MediumVioletRed;Kyiv;EK1275;Plantain;93F
50;SandyBrown;London;QR1777;Sugar-apple;41F
